"outcome","gene","beta_step1","p_step1","beta_step2","p_step2","beta_total","mediation_effect","prop_mediated","sig_mediation","abs_prop"
"LungCancer","GDF11",2.38383075922444,7.74128980505247e-05,0.934861407323254,0.00169513536044658,0.460974451161024,2.22855137838903,4.83443577572711,TRUE,4.83443577572711
"COPD","RP5-1115A15.1",-8.06113341132891,7.22272529569924e-07,-0.251717603665747,0.000163273619510338,0.658823081178385,2.0291291851296,3.07993032287251,TRUE,3.07993032287251
"CAD","MYL6B",4.88534131003794,5.72178544132317e-06,0.142420646890034,0.0339244177950286,0.251845615703304,0.695773469654208,2.7626983607048,TRUE,2.7626983607048
"CAD","RP5-1115A15.1",-8.06113341132891,7.22272529569924e-07,-0.0836087364449528,0.0883281206739197,0.251845615703304,0.673981178835402,2.67616800456598,FALSE,2.67616800456598
"LungCancer","ZNF207",2.72610955821818,0.000301590697014634,-0.446307499331679,0.0922022383916758,0.460974451161024,-1.21668313983255,-2.63937217511333,FALSE,2.63937217511333
"CAD","HNF1A",-2.75943250059582,9.40449761210985e-06,0.220136803371396,0.0346187863404121,0.251845615703304,-0.607452649800303,-2.41200406885754,TRUE,2.41200406885754
"CAD","HDGFRP2",2.2819981259808,0.000311524940508818,-0.242358260823546,0.0387436754313312,0.251845615703304,-0.553061097015298,-2.19603226155365,TRUE,2.19603226155365
"LungCancer","ZNF655",3.08463121377224,8.09080807451389e-07,0.31965287523866,0.199366800341715,0.460974451161024,0.986011236533217,2.13897155048359,FALSE,2.13897155048359
"LungCancer","ERBB3",6.11095559745649,2.53645668141369e-07,0.152667251136251,0.154711593491126,0.460974451161024,0.93294279287937,2.02384924051568,FALSE,2.02384924051568
"CAD","PSMD11",-2.2506591025219,5.32932537313895e-05,0.221171243914194,0.229367593356833,0.251845615703304,-0.497781073331574,-1.97653261479844,FALSE,1.97653261479844
"LungCancer","ARPC1A",2.08610067599454,4.71824576074584e-05,0.421303500488857,0.243372268252752,0.460974451161024,0.87888151716867,1.90657316247157,FALSE,1.90657316247157
"CAD","ZNF207",2.72610955821818,0.000301590697014634,-0.175672555241291,0.22115059337348,0.251845615703304,-0.478902631959895,-1.90157224148021,FALSE,1.90157224148021
