"exposure","outcome","exposure_label","outcome_label","n_snps","method","b","se","pval","or","or_lci","or_uci","fstat","steiger","het_q","het_p","egger_intercept","egger_p","presso_global_p","presso_outlier","note"
"Smoking_initiation","CAD","吸烟起始","冠心病",86,"IVW",0.251845615703304,0.0502332379441299,5.34417015140984e-07,1.2863974223924,1.16577775989988,1.41949725347302,42,"reversed",108.847854853484,0.035501494794219,0.00278114013123719,0.677382620515688,"0.044",TRUE,"OK"
"Smoking_initiation","CAD","吸烟起始","冠心病",86,"MR Egger",0.146022676683857,0.258449607542478,0.573583184034,1.15722242972045,0.697300690784612,1.9204968094055,42,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","CAD","吸烟起始","冠心病",86,"Weighted median",0.264747036274493,0.0662187271438683,6.38613529525447e-05,1.30310129672297,1.14448909372465,1.48369521285244,42,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","CAD","吸烟起始","冠心病",86,"Weighted mode",0.257706182623869,0.193651675635163,0.186823003467779,1.29395857525252,0.885280175472506,1.89129819107931,42,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","LungCancer","吸烟起始","肺癌",84,"IVW",0.460974451161024,0.0923225655477555,5.94222760445011e-07,1.58561834005539,1.32315921616439,1.9001383126123,42.2,"correct",98.946559114677,0.0980031667751391,0.00394283370451964,0.751686328401139,"0.119",FALSE,"OK"
"Smoking_initiation","LungCancer","吸烟起始","肺癌",84,"MR Egger",0.310781814894179,0.48209847618945,0.520957394634331,1.36449147698837,0.5303960971579,3.51027656641981,42.2,"correct",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","LungCancer","吸烟起始","肺癌",84,"Weighted median",0.519450026374635,0.123371314915344,2.54850881426056e-05,1.68110283319007,1.32001387662875,2.14096744420401,42.2,"correct",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","LungCancer","吸烟起始","肺癌",84,"Weighted mode",0.61368209817643,0.309182915005424,0.0504642356316305,1.84722053934948,1.00771317925192,3.38610607785012,42.2,"correct",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","IschStroke","吸烟起始","缺血性脑卒中",85,"IVW",0.145516452999956,0.046557068449255,0.00177472797082493,1.15663676457027,1.05576391910767,1.26714749476029,42.1,"reversed",98.1350604197799,0.122803801421561,-0.00248981876046496,0.682919804768021,"0.139",FALSE,"OK"
"Smoking_initiation","IschStroke","吸烟起始","缺血性脑卒中",85,"MR Egger",0.23983894543899,0.234808029531358,0.310020792255781,1.27104442633387,0.802210054199024,2.01387894013305,42.1,"reversed",NA,NA,NA,NA,NA,NA,"OK"
