exposure_id,n_ivs,mean_F,min_F,median_F,n_weak_ivs,pct_weak
ieu-b-4877,93,42.1,29.8,35.3,0,0
ukb-b-5779,99,52.7,29.7,35.7,0,0
ukb-b-9942,8,37.8,30.1,33.1,0,0
ukb-b-10817,8,36.6,30,31.8,0,0
ukb-b-5237,40,72.7,30.1,38,0,0
ukb-b-3881,55,45.9,29.8,37.2,0,0
